Entity,Code,Year,Coal,Gas,Oil,Nuclear,Hydro,Other,Solar,Wind
Saint Pierre and Miquelon,SPM,2019,0,0,0.046,0,0,0,0,0
Saint Vincent and the Grenadines,VCT,2019,0,0,0.076,0,0.026,0,0.002,0
Samoa,WSM,2019,0,0,0.103,0,0.032,0,0,0
Sao Tome and Principe,STP,2019,0,0,0.083,0,0.007,0,0,0
Saudi Arabia,SAU,2019,0,206.028,149.596,0,0,0,1.781,0
Senegal,SEN,2019,0,0,4.091,0,0.335,0.066,0.177,0
Serbia,SRB,2019,24.653,0,0,0,10.597,0.098,0.014,0.064
Seychelles,SYC,2019,0,0,0.418,0,0,0,0,-0.002
Sierra Leone,SLE,2019,0,0,0.076,0,0.132,0.004,0,0
Singapore,SGP,2019,0,34.575,14.297,0,0,0.756,0.195,0
Slovakia,SVK,2019,2.34,1.927,0.536,15.487,4.247,1.314,0.589,0.003
Slovenia,SVN,2019,4.505,0.564,0.014,5.821,4.394,0.279,0.268,0.006
Solomon Islands,SLB,2019,0,0,0.103,0,0,0.004,0.003,0
Somalia,SOM,2019,0,0,0.33,0,0,0,0.015,0.006
South Africa,ZAF,2019,217.324,1.859,1.202,14.214,0.76,0.429,5.261,6.938
South Korea,KOR,2019,238.719,150.791,7.431,145.99,2.776,14.345,12.133,2.758
South Sudan,SSD,2019,0,0,0.496,0,0,0,0.003,0
Spain,ESP,2019,13.108,85.975,13.416,58.439,25.236,6.278,15.042,56.17
Sri Lanka,LKA,2019,5.097,0,6.824,0,4.827,0.091,0.369,0.367
Sudan,SDN,2019,0,0,6.314,0,9.56,0.119,0.022,0
Suriname,SUR,2019,0,0,0.731,0,1.057,0.006,0.009,0
Sweden,SWE,2019,0.322,0.328,1.693,67.02,65.721,13.122,0.587,19.883
Switzerland,CHE,2019,0,0,0.738,23.03,34.704,1.762,2.26,0.122
Syria,SYR,2019,0,8.2,8.2,0,0.858,0.033,0,0
Taiwan,TWN,2019,126.423,91.122,5.752,32.323,5.544,1.983,4.144,1.871
Tajikistan,TJK,2019,0,0,1.179,0,17.006,0,0,0
Tanzania,TZA,2019,0,4.342,1.302,0,2.407,0.021,0.02,0
Thailand,THA,2019,35.825,121.841,1.125,0,6.31,13.728,5.014,2.662
Togo,TGO,2019,0,0.005,0.022,0,0.252,0.005,0.004,0
Tonga,TON,2019,0,0,0.053,0,0,0,0,0
Trinidad and Tobago,TTO,2019,0,9.258,1.339,0,0,0,0.005,0
Tunisia,TUN,2019,0,18.841,0,0,0,0,0.156,0.449
Turkey,TUR,2019,114.563,58.117,0.169,0,89.159,12.711,10.92,21.704
Turkmenistan,TKM,2019,0,7.23,13.952,0,0.003,0,0.007,0
Turks and Caicos Islands,TCA,2019,0,0,0.245,0,0,0,0,0
Uganda,UGA,2019,0,0,0.241,0,3.477,0.22,0.071,0
Ukraine,UKR,2019,48.262,9.187,0.25,83.003,6.833,0.241,2.911,1.885
United Arab Emirates,ARE,2019,0,133.882,0.003,0,0,0.006,4.169,0.001
United Kingdom,GBR,2019,6.891,132.458,1.041,56.184,5.958,36.553,12.677,64.134
United States of America,USA,2019,1053.53,1700.876,19.964,852.01,271.158,78.34,108.359,303.102
United States Virgin Islands,VIR,2019,0,0,0.568,0,0,0,0.009,0
Uruguay,URY,2019,0,-0.004,0,0,5.927,1.867,0.342,4.344
Uzbekistan,UZB,2019,11.372,38.678,1.353,0,6.5,0,0.004,0
Vanuatu,VUT,2019,0,0,0.049,0,0,-0.001,0.005,0.004
Venezuela,VEN,2019,0,37.776,0,0,63.267,0,0.012,0.148
Vietnam,VNM,2019,112.528,43.145,1.416,0,65.563,0.076,4.181,0.491
Western Sahara,ESH,2019,0,0,0,0,0,0,0,0
World,OWID_WRL,2019,9824.081,6297.904,825.345,2795.962,4222.215,651.811,724.087,1429.62
Yemen,YEM,2019,0,1.482,2.39,0,0,0,0.22,0
Zambia,ZMB,2019,1.591,0,0.773,0,11.799,0.08,0.007,0
Zimbabwe,ZWE,2019,2.855,0,0,0,3.592,0.159,0.012,0
